"","HUC12","Name","DA_km2","TotDA_km2","Percent_PA","Amblema_elliottii_rep001","Amblema_elliottii_rep002","Amblema_elliottii_rep003","Campeloma_regulare_rep001","Campeloma_regulare_rep002","Campeloma_regulare_rep003","Cyprinella_caerulea_rep001","Cyprinella_caerulea_rep002","Cyprinella_caerulea_rep003","Elliptio_arca_rep001","Elliptio_arca_rep002","Elliptio_arca_rep003","Elliptio_arctata_rep001","Elliptio_arctata_rep002","Elliptio_arctata_rep003","Etheostoma_brevirostrum_rep001","Etheostoma_brevirostrum_rep002","Etheostoma_brevirostrum_rep003","Etheostoma_ditrema_rep001","Etheostoma_ditrema_rep002","Etheostoma_ditrema_rep003","Etheostoma_etowahae_rep001","Etheostoma_etowahae_rep002","Etheostoma_etowahae_rep003","Etheostoma_rupestre_rep001","Etheostoma_rupestre_rep002","Etheostoma_rupestre_rep003","Etheostoma_scotti_rep001","Etheostoma_scotti_rep002","Etheostoma_scotti_rep003","Etheostoma_trisella_rep001","Etheostoma_trisella_rep002","Etheostoma_trisella_rep003","Hamiota_altilis_rep001","Hamiota_altilis_rep002","Hamiota_altilis_rep003","Hybopsis_lineapunctata_rep001","Hybopsis_lineapunctata_rep002","Hybopsis_lineapunctata_rep003","Lampetra_aepyptera_rep001","Lampetra_aepyptera_rep002","Lampetra_aepyptera_rep003","Lythrurus_lirus_rep001","Lythrurus_lirus_rep002","Lythrurus_lirus_rep003","Macrhybopsis_etnieri_rep001","Macrhybopsis_etnieri_rep002","Macrhybopsis_etnieri_rep003","Macrhybopsis_storeriana_rep001","Macrhybopsis_storeriana_rep002","Macrhybopsis_storeriana_rep003","Moxostoma_carinatum_rep001","Moxostoma_carinatum_rep002","Moxostoma_carinatum_rep003","Notropis_asperifrons_rep001","Notropis_asperifrons_rep002","Notropis_asperifrons_rep003","Noturus_munitus_rep001","Noturus_munitus_rep002","Noturus_munitus_rep003","Percina_antesella_rep001","Percina_antesella_rep002","Percina_antesella_rep003","Pleurobema_georgianum_rep001","Pleurobema_georgianum_rep002","Pleurobema_georgianum_rep003","Cambarus_conasaugaensis_rep001","Cambarus_conasaugaensis_rep002","Cambarus_conasaugaensis_rep003","Cambarus_coosawattae_rep001","Cambarus_coosawattae_rep002","Cambarus_coosawattae_rep003","Cambarus_fasciatus_rep001","Cambarus_fasciatus_rep002","Cambarus_fasciatus_rep003","Cambarus_speciosus_rep001","Cambarus_speciosus_rep002","Cambarus_speciosus_rep003","Lampsilis_straminea_rep001","Lampsilis_straminea_rep002","Lampsilis_straminea_rep003","Quadrula_rumphiana_rep001","Quadrula_rumphiana_rep002","Quadrula_rumphiana_rep003","Pleurobema_decisum_rep001","Pleurobema_decisum_rep002","Pleurobema_decisum_rep003","Villosa_vanuxemensis_rep001","Villosa_vanuxemensis_rep002","Villosa_vanuxemensis_rep003","Elimia_caelatura_rep001","Elimia_caelatura_rep002","Elimia_caelatura_rep003","Acipenser_fulvescens_rep001","Acipenser_fulvescens_rep002","Acipenser_fulvescens_rep003","Cambarus_cymatilis_rep001","Cambarus_cymatilis_rep002","Cambarus_cymatilis_rep003","Cambarus_manningi_rep001","Cambarus_manningi_rep002","Cambarus_manningi_rep003","Cambarus_stockeri_rep001","Cambarus_stockeri_rep002","Cambarus_stockeri_rep003","Percina_aurolineata_rep001","Percina_aurolineata_rep002","Percina_aurolineata_rep003","Cyclonaias_asperata_rep001","Cyclonaias_asperata_rep002","Cyclonaias_asperata_rep003","Cyclonaias_kieneriana_rep001","Cyclonaias_kieneriana_rep002","Cyclonaias_kieneriana_rep003","Elimia_ornata_rep001","Elimia_ornata_rep002","Elimia_ornata_rep003","Epioblasma_metastriata_rep001","Epioblasma_metastriata_rep002","Epioblasma_metastriata_rep003","Epioblasma_othcaloogensis_rep001","Epioblasma_othcaloogensis_rep002","Epioblasma_othcaloogensis_rep003","Epioblasma_penita_rep001","Epioblasma_penita_rep002","Epioblasma_penita_rep003","Hiodon_tergisus_rep001","Hiodon_tergisus_rep002","Hiodon_tergisus_rep003","Lasmigona_etowaensis_rep001","Lasmigona_etowaensis_rep002","Lasmigona_etowaensis_rep003","Leptoxis_foremani_rep001","Leptoxis_foremani_rep002","Leptoxis_foremani_rep003","Lioplax_cyclostomaformis_rep001","Lioplax_cyclostomaformis_rep002","Lioplax_cyclostomaformis_rep003","Medionidus_acutissimus_rep001","Medionidus_acutissimus_rep002","Medionidus_acutissimus_rep003","Medionidus_parvulus_rep001","Medionidus_parvulus_rep002","Medionidus_parvulus_rep003","Percina_kusha_rep001","Percina_kusha_rep002","Percina_kusha_rep003","Percina_lenticula_rep001","Percina_lenticula_rep002","Percina_lenticula_rep003","Percina_jenkinsi_rep001","Percina_jenkinsi_rep002","Percina_jenkinsi_rep003","Villosa_nebulosa_rep001","Villosa_nebulosa_rep002","Villosa_nebulosa_rep003","Percina_shumardi_rep001","Percina_shumardi_rep002","Percina_shumardi_rep003","Pleurobema_hanleyianum_rep001","Pleurobema_hanleyianum_rep002","Pleurobema_hanleyianum_rep003","Pleurobema_hartmanianum_rep001","Pleurobema_hartmanianum_rep002","Pleurobema_hartmanianum_rep003","Pleurocera_pyrenella_rep001","Pleurocera_pyrenella_rep002","Pleurocera_pyrenella_rep003","Pleurocera_showalteri_rep001","Pleurocera_showalteri_rep002","Pleurocera_showalteri_rep003","Pleurocera_vestita_rep001","Pleurocera_vestita_rep002","Pleurocera_vestita_rep003","Potamilus_purpuratus_rep001","Potamilus_purpuratus_rep002","Potamilus_purpuratus_rep003","Pseudodontoideus_connasaugaensis_rep001","Pseudodontoideus_connasaugaensis_rep002","Pseudodontoideus_connasaugaensis_rep003","Ptychobranchus_foremanianus_rep001","Ptychobranchus_foremanianus_rep002","Ptychobranchus_foremanianus_rep003","Villosa_umbrans_rep001","Villosa_umbrans_rep002","Villosa_umbrans_rep003","Etheostoma_brevirostrum_Etowah_rep001","Etheostoma_brevirostrum_Etowah_rep002","Etheostoma_brevirostrum_Etowah_rep003","Percina_kusha_Etowah_rep001","Percina_kusha_Etowah_rep002","Percina_kusha_Etowah_rep003","Percina_antesella_Etowah_rep001","Percina_antesella_Etowah_rep002","Percina_antesella_Etowah_rep003","Noturus_munitus_Etowah_rep001","Noturus_munitus_Etowah_rep002","Noturus_munitus_Etowah_rep003","Percina_lenticula_Etowah_rep001","Percina_lenticula_Etowah_rep002","Percina_lenticula_Etowah_rep003"
"82","031501030102","Middle Oothkalooga Creek",59.46456084,96.2901,0,0,0.00016,1,0,0.033,0.98,0,0,0,0,0.00075,0.9,0,0,0,0,0,0,0,0.015,0.99,0,0,0,0,0.00092,0.92,0,0,0,0,0.072,1,0,0,0,1,1,1,0,0.0027,0.98,1,1,1,0,0,0,0,0.0023,0.94,0,0.00052,0.56,0,0.00055,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","031501030103","Lower Oothkalooga Creek",55.88308974,168.9102,0.00239436877507,1,1,1,0,0.032,0.96,0,0,0,0,0.73,1,0,0,0,0,0,0,0,0.005,1,0,0,0,0,0.41,1,0,0,0,0,0.049,1,0,0,0,0,9.3e-06,0.95,0,0.0031,0.99,0,0.00076,1,0,0,0,0,0.046,1,0,0.03,0.97,0,0.0011,0.97,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","031501030201","Camp Creek",40.13675748,39.9915,0.1745314716,0,0.0031,1,0,0.0077,0.93,0,0,0,0,0.0012,0.93,0,0,0,0,0,0,1,1,1,0,0,0,0,2.2e-07,0.0028,0,0,0,0,0.00032,1,0,0,0,0,7.9e-07,0.78,0,0.0039,0.95,0,8.6e-05,0.98,0,0,0,0,7.4e-05,0.54,0,9e-09,0.0044,0,2e-04,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","031501030202","Town Creek-Oostanaula River",67.97915428,4391.6607,0.0148771310021,1,1,1,0,0.034,0.96,0,0,0,0,0.95,1,0,0,0,0,0,0,0,0.0024,0.22,0,0,0,0,7.5e-10,1.3e-10,0,0,0,0,0.0037,1,0,0,0,1,1,1,0,0.0012,0.93,0,0.001,1,0,0,0,1,1,1,1,1,1,0,0.00026,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","031501030203","Snake Creek-Oostanaula River",63.28074982,4411.5516,0.383233587843,1,1,1,0,0.017,0.97,0,0,0,0,0.97,1,0,0,0,0,0,0,0,0.0043,0.99,0,0,0,0,0.14,0.91,0,0,0,0,0.0067,1,0,0,0,0,1.4e-05,0.95,0,0.0018,0.92,1,1,1,0,0,0,0,0.07,0.99,0,0.04,0.92,0,0.00092,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","031501030204","Bow Creek-Oostanaula River",76.90652744,4530.2112,0.260054442238,1,1,1,0,0.034,0.99,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0011,0.68,0,0,0,0,3.3e-05,9.2e-06,0,0,0,0,0.00056,1,0,0,0,0,4.8e-07,0.68,0,0.0057,0.91,0,0.00033,0.98,0,0,0,1,1,1,1,1,1,0,0.0024,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","031501030205","Robbins Creek-Oostanaula River",58.0117381,4589.2404,0.00762489924726,1,1,1,0,0.082,0.99,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0023,0.82,0,0,0,0,9.9e-06,6.8e-05,0,0,0,0,0.00012,1,0,0,0,0,3.3e-05,0.63,0,0.0046,0.92,1,1,1,0,0,0,1,1,1,1,1,1,0,0.00086,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","031501030301","Pocket Creek-Johns Creek",40.8328174,40.743,0.824397748557,0,2.4e-08,1,0,0.069,0.99,0,0,0,0,0.0021,0.95,0,0,0,0,0,0,0,3.1e-05,0.043,0,0,0,0,2.5e-11,6.2e-07,0,0,0,0,5e-04,1,0,0,0,0,3.7e-06,0.55,0,0.00017,0.19,1,1,1,0,0,0,0,9.3e-06,0.1,0,1.5e-11,0.00012,0,1.1e-05,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","031501030302","Everett Springs-Johns Creek",41.65432998,75.2436,0.29312866624,0,0.086,1,0,0.036,0.98,0,0,0,0,0.0016,0.95,0,0,0,0,0,0,0,0.00034,0.96,0,0,0,0,6.4e-05,0.92,0,0,0,0,0.0087,1,0,0,0,0,1.9e-05,0.97,0,0.0035,0.98,1,1,1,0,0,0,0,0.0013,0.93,0,1e-04,0.33,0,0.00092,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","031501030303","Rocky Creek-Johns Creek",33.77509356,115.9425,0.399423091746,0,0.27,1,0,0.033,0.99,0,0,0,0,0.0013,0.94,0,0,0,0,0,0,0,7.3e-05,0.29,0,0,0,0,1.8e-06,1e-05,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00057,0.31,0,9.6e-07,0.0031,0,1.3e-05,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","031501030401","Upper Little Armuchee Creek",38.53015406,35.6481,0.268128059194,0,2.8e-08,1,0,0.026,0.98,0,0,0,0,0.0018,0.95,0,0,0,0,0,0,0,0.0044,0.78,0,0,0,0,2.3e-09,5.7e-05,0,0,0,0,0.0049,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1.3e-05,0.21,0,3.5e-10,0.00091,0,5.7e-05,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","031501030402","Storey Mill Creek",48.5016171,48.3336,0.329757453799,0,0.0026,1,0,0.033,0.99,0,0,0,0,0.0021,0.95,0,0,0,0,0,0,0,0.00017,0.81,0,0,0,0,1.2e-05,0.42,0,0,0,0,0.012,1,0,0,0,0,7.1e-06,0.94,0,0.0017,0.95,1,1,1,0,0,0,0,4e-04,0.83,0,6.8e-06,0.12,0,0.00065,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","031501030403","Heath Creek",62.76275174,62.5905,0.496475413048,0,0.099,1,0,0.079,0.99,0,0,0,0,0.0021,0.95,0,0,0,0,0,0,0,0.00013,0.93,0,0,0,0,0.00014,0.81,0,0,0,0,0.028,1,0,0,0,0,5.9e-06,0.95,0,0.0057,0.99,1,1,1,0,0,0,0,0.0013,0.93,0,5.6e-05,0.24,0,0.00046,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","031501030404","Lower Little Armuchee Creek",62.39044062,211.5468,0.167316676283,0,0.14,1,0,0.076,0.99,0,0,0,0,0.0018,0.95,0,0,0,0,0,0,0,0.00087,0.8,0,0,0,0,2.1e-06,2.1e-05,0,0,0,0,0.0012,1,0,0,0,0,9e-07,0.72,1,1,1,1,1,1,0,0,0,0,0.0012,0.41,0,1.8e-05,0.0089,0,5e-06,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","031501030501","Upper West Armuchee Creek",64.31674598,64.2753,0.35144810075,0,5.4e-07,1,1,1,1,0,0,0,0,0.002,0.95,0,0,0,0,0,0,0,0.0047,0.98,0,0,0,0,6.6e-05,0.52,0,0,0,0,0.012,1,0,0,0,0,2.5e-05,0.96,1,1,1,1,1,1,0,0,0,0,0.00062,0.84,0,5.7e-05,0.23,0,0.00047,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","031501030502","Lower West Armuchee Creek",80.12378114,144.1116,0.363269485002,0,0.00074,1,1,1,1,0,0,0,0,0.0018,0.95,0,0,0,0,0,0,0,0.00093,0.78,0,0,0,0,2.2e-05,0.0083,0,0,0,0,0.0052,1,0,0,0,0,2.4e-06,0.84,1,1,1,1,1,1,0,0,0,0,0.001,0.72,0,2.4e-06,0.018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","031501030503","Upper East Armuchee Creek",75.40918924,69.3882,0.214738515751,0,1.2e-06,1,0,0.027,0.98,0,0,0,0,0.0011,0.92,0,0,0,0,0,0,0,0.00034,0.65,0,0,0,0,5e-05,0.031,0,0,0,0,0.00033,1,0,0,0,0,2.5e-05,0.93,0,2e-04,0.66,1,1,1,0,0,0,0,5.6e-05,0.5,0,6.4e-06,0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","031501030504","Lower East Armuchee Creek",37.86242216,112.9518,0.60010144366,0,0.00047,1,0,0.18,1,0,0,0,0,0.00091,0.92,0,0,0,0,0,0,0,5.7e-05,0.75,0,0,0,0,0.00018,0.98,0,0,0,0,0.043,1,0,0,0,0,2.2e-05,0.98,0,0.002,0.97,1,1,1,0,0,0,0,0.0012,0.94,0,0.00014,0.43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","031501030505","Haywood Valley-Armuchee Creek",38.5261072,295.281,0.0982728605323,0,0.37,1,0,0.22,1,0,0,0,0,0.0053,0.99,0,0,0,0,0,0,0,0.0076,0.99,0,0,0,1,1,1,0,0,0,0,0.0027,1,1,1,1,0,1.6e-06,0.83,0,0.0038,0.9,1,1,1,0,0,0,0,0.00072,0.78,0,2.3e-07,0.0016,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","031501030506","Lavender Creek",40.7721145,517.9068,0.636202508777,0,0.54,1,0,0.065,0.99,0,0,0,0,0.0018,0.95,0,0,0,0,0,0,0,0.00027,0.9,0,0,0,0,0.0059,0.81,0,0,0,0,0.014,1,0,0,0,0,3.1e-06,0.91,0,0.0034,0.97,1,1,1,0,0,0,0,0.0079,0.97,0,0.0022,0.65,0,0.00056,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","031501030507","McGrady Bend-Armuchee Creek",35.9361168,583.47,0.19619896531,0,0.61,1,1,1,1,0,0,0,0,0.03,0.99,0,0,0,0,0,0,0,6.2e-05,0.92,0,0,0,1,1,1,0,0,0,0,0.0024,1,1,1,1,1,1,1,0,0.0067,0.99,0,0.00024,0.98,0,0,0,0,0.0023,0.97,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
