Amblema_elliottii
Campeloma_regulare
Cyprinella_caerulea
Elliptio_arca
Elliptio_arctata
Etheostoma_brevirostrum
Etheostoma_ditrema
Etheostoma_etowahae
Etheostoma_rupestre
Etheostoma_scotti
Etheostoma_trisella
Hamiota_altilis
Hybopsis_lineapunctata
Lampetra_aepyptera
Lythrurus_lirus
Macrhybopsis_etnieri
Macrhybopsis_storeriana
Moxostoma_carinatum
Notropis_asperifrons
Noturus_munitus
Percina_antesella
Pleurobema_georgianum
Cambarus_conasaugaensis
Cambarus_coosawattae
Cambarus_fasciatus
Cambarus_speciosus
Lampsilis_straminea
Quadrula_rumphiana
Pleurobema_decisum
Villosa_vanuxemensis
Elimia_caelatura
Acipenser_fulvescens
Cambarus_cymatilis
Cambarus_manningi
Cambarus_stockeri
Percina_aurolineata
Cyclonaias_asperata
Cyclonaias_kieneriana
Elimia_ornata
Epioblasma_metastriata
Epioblasma_othcaloogensis
Epioblasma_penita
Hiodon_tergisus
Lasmigona_etowaensis
Leptoxis_foremani
Lioplax_cyclostomaformis
Medionidus_acutissimus
Medionidus_parvulus
Percina_kusha
Percina_lenticula
Percina_jenkinsi
Villosa_nebulosa
Percina_shumardi
Pleurobema_hanleyianum
Pleurobema_hartmanianum
Pleurocera_pyrenella
Pleurocera_showalteri
Pleurocera_vestita
Potamilus_purpuratus
Pseudodontoideus_connasaugaensis
Ptychobranchus_foremanianus
Villosa_umbrans
Etheostoma_brevirostrum_Etowah
Percina_kusha_Etowah
Percina_antesella_Etowah
Noturus_munitus_Etowah
Percina_lenticula_Etowah
